Author's Avatar,Author,Text,Diggs,Shares,Plays,Comments,Bookmarks,Duration (seconds),Music,Music author,Music original?,Create Time,Video url
https://p19-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/ab0543e62b42e4d535eb7f46e75cba62~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=f7b3908f&x-expires=1763550000&x-signature=g733xe6hDRajkPCwR4aWi%2BFT4%2F8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,nk3dlab,"Top 5 Useful 3D Prints🔥

📁Model STL: Link in bio

Don’t forget to like, subscribe, and comment on what to print next!✨

#3dprint #fyp #diy #lifehack #musthave",84600,7357,1400000,100,9272,57,original sound,NK3DLab,True,2025-11-10T18:22:37.000Z,https://www.tiktok.com/@nk3dlab/video/7571163851127852310
https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/41a3d07c34814309ab28e88dc08ff7cc~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=8941421f&x-expires=1763550000&x-signature=33Vu%2B75hSpYLMqynnvWp7mPV0%2Bo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,carterpcs,My best 3d prints.. #carterpcs #tech #3dprinting #bambulabs ,95000,444,936800,462,3814,28,orange soda,koteon,False,2025-10-25T06:10:52.000Z,https://www.tiktok.com/@carterpcs/video/7565037813918420255
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e89914391b8867d94b3cc5ad569495ea~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=c6accba0&x-expires=1763550000&x-signature=ULxo0Sqli%2BvZfX3szjy2Rv%2BE5ho%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,printsculptors,7 cool & satisfying 3D printed fidget toys in under a minute!,306600,13900,8000000,834,25500,57,Chill Vibes,Tollan Kim,False,2025-11-16T07:19:52.000Z,https://www.tiktok.com/@printsculptors/video/7573219578524765448
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/d764123f58accbc3b5969b86e36b43d8~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=0b50061e&x-expires=1763550000&x-signature=38qpGU%2B%2B8b2QnY6uJETJRL9devg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,andrea.lopez44,Which is the best?😍 #viral #fyp #couple ,246600,1030,2100000,373,9713,60,Funny,Gold-Tiger,False,2025-08-24T17:11:29.000Z,https://www.tiktok.com/@andrea.lopez44/video/7542200822281555231
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/19065500b71438d71f81f5fbd5444b1d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=cd4642c5&x-expires=1763550000&x-signature=GBwWmynhPqtH0seK460uc42jFlo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,3dtoylab.official,"3D Printed Battery Magazine | Functional Storage Print

I 3D printed an AAA Battery Magazine — it holds a bunch of AAA batteries in a sleek magazine-style design, printed without any supports and ready for real use. Watch the full timelapse and see the final build in action.

https://makerworld.com/en/models/506368-aaa-battery-magazine#profileId-422086

#3DPrinter #BatteryHolder #AAA #PrintTok #FYP #Satisfying #GadgetPrint",125200,3759,4300000,392,8680,29,оригинальный звук - 3dToyLab,3dToyLab,True,2025-11-14T14:16:26.000Z,https://www.tiktok.com/@3dtoylab.official/video/7572584748732665100
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/e2c58da78856d4d8d1004e03d8c4dae5~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=5cf55eb1&x-expires=1763550000&x-signature=9TDJ3zTQmOhMuQj1oaZ7nl%2FdAsY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,layerworks,The best Prints of October‘25🤩#layerworks #best #compilation #toys #3dprinting ,58700,1142,1400000,102,5423,60,Secret Getaway,Eazy & Slip.stream,False,2025-11-11T17:58:44.000Z,https://www.tiktok.com/@layerworks/video/7571528780389289238
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/e66261a0739204c3a1913924921b1fe9~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=8b24df9f&x-expires=1763550000&x-signature=D77MF%2ByiVb48kpM3x643JY1ol8M%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,darisworld,"3D printed mini buckets easy and simple print 
#fyp #3dprinting #simple #life #trending ",1073,414,51100,24,306,16,Guns_N_Guetta_Prezioso_Mash_Up,Giorgio Prezioso,True,2025-11-06T12:14:37.000Z,https://www.tiktok.com/@darisworld/video/7569584635844267278
https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/fc944130592b75e7fe95a7b649e8ad79~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=2bc56938&x-expires=1763550000&x-signature=jPqVMg5AvFhGSYp4e6vzQ%2FGS2WQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,layersofdylan,"3D Printing a GIANT Pokemon Fossil Part 7!
Heres how I smoothed my 3D print and got it ready for paint!
Thank you to @E3D Official  for being the sponsor of this crazy project.
Their 3D printer nozzles increase both strength and speed. PERFECT for large builds.
Filament is @Polymaker 3D filaments  new HT PLA and im in love!

#3DPrinting #pokemon #3dprinter #nostalgia",787,25,15000,11,86,37,original sound,Layers of Dylan,True,2025-11-15T16:00:54.000Z,https://www.tiktok.com/@layersofdylan/video/7572883960879959351
https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/5d724ee4a7d339f07012c3e93931b77f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=4acc3a05&x-expires=1763550000&x-signature=kakN5YULq6FYThb3HZLfe4fuXvs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,the3dwizard,"Make the switch. 

Printer: @Creality official Hi
Model: Double Light Switch Cover with built-in shelf by LYKOI STUDIO

#3dprinting #useful3dprints #functional3dprinting #funny3dprints #outletcover ",58700,10600,1300000,242,11500,18,Tourist,RJ Pasin,False,2025-08-03T17:09:04.000Z,https://www.tiktok.com/@the3dwizard/video/7534407402838428958
https://p19-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/ab0543e62b42e4d535eb7f46e75cba62~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=f7b3908f&x-expires=1763550000&x-signature=g733xe6hDRajkPCwR4aWi%2BFT4%2F8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,nk3dlab,"3D Printed Alastor Microphone from Hazbin Hotel🎙️

🔌Printer: @Anycubic Official Kobra 3 V2 Combo
🧶Filament: @3DPower Filament PLA & @gratkit PETG
👉All products via link in bio!

Don’t forget to like, subscribe, and comment on what to print next!✨

#3dprinted #alastor #hazbinhotel #cosplay #microphone         ",22000,1535,300200,101,2686,17,Insane,Black Gryph0n & Baasik,False,2025-11-15T22:35:20.000Z,https://www.tiktok.com/@nk3dlab/video/7573084401882467606
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e89914391b8867d94b3cc5ad569495ea~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=c6accba0&x-expires=1763550000&x-signature=ULxo0Sqli%2BvZfX3szjy2Rv%2BE5ho%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,printsculptors,8 Cool & Satisfying 3D Printed Fidget Toys in 60 Seconds! #3dprinting #fidgettoys #satisfying ,639100,13600,20200000,1696,47600,59,"lofi, chill, hip hop(886723)",Noi m knot,False,2025-10-05T06:18:30.000Z,https://www.tiktok.com/@printsculptors/video/7557618172971486472
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/e89914391b8867d94b3cc5ad569495ea~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=c6accba0&x-expires=1763550000&x-signature=ULxo0Sqli%2BvZfX3szjy2Rv%2BE5ho%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,printsculptors,"3D-Printed Quantum Skull.
📁File: Makerworld
🖨️Printer: Bambu Lab A1 AMS
Filament: Esun PLA+Cyan, White

#asmr #3dprinting #satisfying #quantum #skull #illusion ",29200,1513,2600000,178,2806,9,Dark and mysterious trap beat Long Version(1561941),Koko ni studio,False,2025-07-19T07:03:44.000Z,https://www.tiktok.com/@printsculptors/video/7528685194363014418
https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/2a19cb74b79e88e65f311945f8b5b657~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=b454afa9&x-expires=1763550000&x-signature=fb6iuL%2Bb%2FRnY80vTzMwY2LQLw9g%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,siefshome,"OMG how cool is this?! I looove how the prints turned out 🤍

This @BAMBULAB Official A1 combo printer is seriously the best! Can’t wait to create more ✨
 
Filament I used: Bambu PLA matte - bone white

|ad #bambulab #bambulestmakeit #3dprinting #3dprint ",171600,39600,8200000,923,47200,30,original sound,ClayDough,True,2025-10-21T13:52:29.000Z,https://www.tiktok.com/@siefshome/video/7563672422197562656
https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/23c5cb110d80ed91df4a21c5437cc089~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d75a94e9&x-expires=1763550000&x-signature=xr%2BZvS1um6DIzIFDyKKQem6rBpc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,ruven_bals,"Is this even chess anymore? 
Files to 3D print your own through the link in my Bio. 
#3dprinting #chess #boardgames ",49700,4464,1300000,134,6086,10,original sound,Ruven_Bals,True,2025-10-23T17:30:17.000Z,https://www.tiktok.com/@ruven_bals/video/7564470838083259670
https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/23c5cb110d80ed91df4a21c5437cc089~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=d75a94e9&x-expires=1763550000&x-signature=xr%2BZvS1um6DIzIFDyKKQem6rBpc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast8,ruven_bals,"Is this a Liquid or a solid? 
Files to print your own though the link in my Bio. 
#3dprinting #fidget #slime ",42300,9294,1100000,222,8059,7,original sound,Ruven_Bals,True,2025-10-11T08:20:23.000Z,https://www.tiktok.com/@ruven_bals/video/7559876101347020054
