channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
My 3D Print Lab,12900,2025-11-15,204,US,https://www.youtube.com/channel/UCiztUNUXkvetzfe-UR-y06w,UCiztUNUXkvetzfe-UR-y06w
Stay Ready To 3D Print,37000,2025-11-05,3890,US,https://www.youtube.com/channel/UCXS90ukmtQo2kg3Ydf-cj3A,UCXS90ukmtQo2kg3Ydf-cj3A
3D Printer Academy,513000,2025-11-12,74077,US,https://www.youtube.com/channel/UC4OPqfX3clJgmb_K72Pu-kA,UC4OPqfX3clJgmb_K72Pu-kA
Braden,93900,2025-11-14,7448,US,https://www.youtube.com/channel/UClbvHxGrjMU3M39PwzRXuKw,UClbvHxGrjMU3M39PwzRXuKw
Shaullim,27600,2025-07-18,36838,US,https://www.youtube.com/channel/UC6lgmsvCr3K252NPPqcQS-w,UC6lgmsvCr3K252NPPqcQS-w
Tomb of 3D Printed Horrors (Fat Dragon Games),114000,2025-11-13,565,US,https://www.youtube.com/channel/UC5Lbnd97HV3rU98gcwHklzQ,UC5Lbnd97HV3rU98gcwHklzQ
3D Printer Academy Tutorials,67600,2025-10-26,1953,US,https://www.youtube.com/channel/UCiO5QVCba_fW_GURw7ZG3qw,UCiO5QVCba_fW_GURw7ZG3qw
Print Farm Academy,70500,2025-11-12,18101,US,https://www.youtube.com/channel/UCZ6-dHJvX2K5z0Gx6SGIeWw,UCZ6-dHJvX2K5z0Gx6SGIeWw
Polaristuff,800000,2025-11-14,10230,US,https://www.youtube.com/channel/UCvQ73tpu1C78RnzajHhLMAw,UCvQ73tpu1C78RnzajHhLMAw
PrintMeister,114000,2025-08-01,12789,US,https://www.youtube.com/channel/UCKUXLlGbWJCkrO85hirdKtw,UCKUXLlGbWJCkrO85hirdKtw
Unnecessary Inventions,5310000,2025-11-13,166553,US,https://www.youtube.com/channel/UCB4NFn-8oipHct0IfAQBQrQ,UCB4NFn-8oipHct0IfAQBQrQ
