channel_name,subscribers,last_video_date,last_video_views,email,country,url,channel_id
Pirate Software,2050000,2025-11-21,4173,,US,https://www.youtube.com/channel/UCMnULQ6F6kLDAHxofDWIbrw,UCMnULQ6F6kLDAHxofDWIbrw
ZeroCool - Game Development,12500,2025-11-17,2020,,IN,https://www.youtube.com/channel/UCe1Sp8SYrHUlXjhPCtbY2ew,UCe1Sp8SYrHUlXjhPCtbY2ew
Brackeys,1910000,2025-10-05,146277,,DK,https://www.youtube.com/channel/UCYbK_tjZ2OrIZFBvU6CCMiA,UCYbK_tjZ2OrIZFBvU6CCMiA
Andrzej Gieralt Creative,16000,2025-11-18,2331,,CA,https://www.youtube.com/channel/UCL7tHebe19_Sz2RvTRCwznw,UCL7tHebe19_Sz2RvTRCwznw
Artindi,68900,2025-11-08,40306,,US,https://www.youtube.com/channel/UC-X348Le6FmIfc9zxH4KYNA,UC-X348Le6FmIfc9zxH4KYNA
Goodgis,253000,2025-10-30,166924,,US,https://www.youtube.com/channel/UCdXUwmzmhitTRqtPLazyetg,UCdXUwmzmhitTRqtPLazyetg
Dave / GameDevelopment,42900,2023-04-02,22062,,US,https://www.youtube.com/channel/UCIWlCE2kt0RXCJLRp8HjhiQ,UCIWlCE2kt0RXCJLRp8HjhiQ
NVIDIA Game Developer,21200,2025-11-17,1308,,,https://www.youtube.com/channel/UCASOkSclENSWAyIovnY8Wdw,UCASOkSclENSWAyIovnY8Wdw
SimTek Game Development,152000,2025-11-18,8521,,US,https://www.youtube.com/channel/UC0WH048emp1tAVI5LpcJxmg,UC0WH048emp1tAVI5LpcJxmg
iHeartGameDev,89400,2024-12-28,9776,,US,https://www.youtube.com/channel/UC9uqO0ei_zOHotEWfEj72mw,UC9uqO0ei_zOHotEWfEj72mw
Giedzilla,66100,2022-11-21,26175,,LT,https://www.youtube.com/channel/UCSgRS__nMStoaXtWlKKfLDw,UCSgRS__nMStoaXtWlKKfLDw
BadGameDev,226000,2025-10-25,1746,,AU,https://www.youtube.com/channel/UCKSbq7Xq8UWeWx4lv7MdG2A,UCKSbq7Xq8UWeWx4lv7MdG2A
Dani,3580000,2022-01-14,15174408,,NO,https://www.youtube.com/channel/UCIabPXjvT5BVTxRDPCBBOOQ,UCIabPXjvT5BVTxRDPCBBOOQ
Stylized Station,502000,2025-07-09,45722,,CA,https://www.youtube.com/channel/UC7cmH--tFhYduIshTKzQUJQ,UC7cmH--tFhYduIshTKzQUJQ
Microsoft Game Dev,13100,2025-11-06,2019,,US,https://www.youtube.com/channel/UCaCZHrQg_-qPrYIVsTFuUHg,UCaCZHrQg_-qPrYIVsTFuUHg
Slightly Esoteric Game Development,6450,2025-11-15,10,,AU,https://www.youtube.com/channel/UCwZsJGl1d8LUwAy5wEoz0ZQ,UCwZsJGl1d8LUwAy5wEoz0ZQ
