channel_name,subscribers,last_video_date,last_video_views,country,url,description_about
Vedinad,232000,2025-09-21,4060110,NO,https://www.youtube.com/channel/UCm660vO2lLqC3DJfL_pjDnw,Vedinad - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
iHeartGameDev,89400,2024-12-28,9777,US,https://www.youtube.com/channel/UC9uqO0ei_zOHotEWfEj72mw,iHeartGameDev - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
Slightly Esoteric Game Development,6450,2025-11-15,10,AU,https://www.youtube.com/channel/UCwZsJGl1d8LUwAy5wEoz0ZQ,Slightly Esoteric Game Development - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
Buvesa Game Development,20500,2025-11-08,169,BE,https://www.youtube.com/channel/UCQaeCs2hL2I7EK88fOZhWBw,Buvesa Game Development - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
Ask Gamedev,214000,,,CA,https://www.youtube.com/channel/UCd_lJ4zSp9wZDNyeKCWUstg,Ask Gamedev - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
Games Of Vaibhav,450000,2025-07-27,197115,IN,https://www.youtube.com/channel/UCSh-zF-LcAHiGUITBtl7c2Q,Games Of Vaibhav - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
Dani,3580000,2022-01-14,15174438,NO,https://www.youtube.com/channel/UCIabPXjvT5BVTxRDPCBBOOQ,Dani - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
Juniper Dev,263000,2025-11-12,57308,US,https://www.youtube.com/channel/UChzRJQ-MbpcIxFT5YLW1R9w,Juniper Dev - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
Game Development Center,26900,2021-09-19,25309,NL,https://www.youtube.com/channel/UClseGZiVmeHamsjYmpbiAmQ,Game Development Center - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
Goodgis,253000,2025-10-30,166931,US,https://www.youtube.com/channel/UCdXUwmzmhitTRqtPLazyetg,Goodgis - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
Game Maker's Toolkit,1690000,2025-11-05,221314,GB,https://www.youtube.com/channel/UCqJ-Xo29CKyLTjn6z2XwYAw,Game Maker's Toolkit - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
DevDuck,176000,2025-10-25,10257,US,https://www.youtube.com/channel/UCKCTmact-90hXpV2ns8GSsA,DevDuck - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
England Rugby Game Development,13200,2025-10-10,59,GB,https://www.youtube.com/channel/UCZ9bbrN-mWFQYsAR0NKIi8Q,England Rugby Game Development - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
GDQuest,307000,2022-06-08,128626,FR,https://www.youtube.com/channel/UCxboW7x0jZqFdvMdCFKTMsQ,GDQuest - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
GDC Festival of Gaming,548000,2025-11-20,3879,US,https://www.youtube.com/channel/UC0JB7TSe49lg56u6qH8y_MQ,GDC Festival of Gaming - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
ZeroCool - Game Development,12500,2025-11-17,2022,IN,https://www.youtube.com/channel/UCe1Sp8SYrHUlXjhPCtbY2ew,ZeroCool - Game Development - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
NVIDIA Game Developer,21200,2025-11-17,1308,,https://www.youtube.com/channel/UCASOkSclENSWAyIovnY8Wdw,NVIDIA Game Developer - YouTube About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features NFL Sunday Ticket © 2025 Google LLC
