channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id,,
IGN,19500000,2025/11/16,6875,US,https://www.youtube.com/channel/UCKy1dAqELo0zrOtPkf0eTMw,UCKy1dAqELo0zrOtPkf0eTMw,,
freeCodeCamp.org,11300000,2025/11/15,3443,US,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,UC8butISFwT-Wl7EV0hUK0BQ,,
Kat Longoria,5400000,2025/11/8,420350,,https://www.youtube.com/channel/UCz-_g3nVpinMkvs-n9XZf_A,UCz-_g3nVpinMkvs-n9XZf_A,,
Unnecessary Inventions,5310000,2025/11/13,166553,US,https://www.youtube.com/channel/UCB4NFn-8oipHct0IfAQBQrQ,UCB4NFn-8oipHct0IfAQBQrQ,,
ElliotSimms,4310000,2025/11/15,55859,US,https://www.youtube.com/channel/UCgeit8Z93GU92Tw-XNF2yfw,UCgeit8Z93GU92Tw-XNF2yfw,,
KBS News,3490000,2025/11/17,949,KR,https://www.youtube.com/channel/UCcQTRi69dsVYHN3exePtZ1A,UCcQTRi69dsVYHN3exePtZ1A,,
AirwaveMusicTV,3440000,2025/11/16,3185,DE,https://www.youtube.com/channel/UCwIgPuUJXuf2nY-nKsEvLOg,UCwIgPuUJXuf2nY-nKsEvLOg,,
키에커,3280000,2025/11/16,67846,KR,https://www.youtube.com/channel/UC6u3fosnyufBiUiS3w609zw,UC6u3fosnyufBiUiS3w609zw,,
marsgizmo,3070000,2025/7/24,435868,US,https://www.youtube.com/channel/UCMgE5ns0gsEvbYiiCwnyaDA,UCMgE5ns0gsEvbYiiCwnyaDA,,
Daniel Krafft,2380000,2025/10/25,460895,US,https://www.youtube.com/channel/UCojEXrCBzO-cP2N5YlRcrWw,UCojEXrCBzO-cP2N5YlRcrWw,,
악동 김블루,2180000,2025/11/17,50857,KR,https://www.youtube.com/channel/UCNzcxCN_Hh_lu5RCSFXKgGQ,UCNzcxCN_Hh_lu5RCSFXKgGQ,,
Pirate Software,2050000,2025/11/15,4705,US,https://www.youtube.com/channel/UCMnULQ6F6kLDAHxofDWIbrw,UCMnULQ6F6kLDAHxofDWIbrw,,
CarterPCs,1920000,2025/11/17,12506,US,https://www.youtube.com/channel/UCi7wDE2ZTiR5QYYrUY5WhtA,UCi7wDE2ZTiR5QYYrUY5WhtA,,
김재원의 즐거운 세상,1870000,2025/4/13,1495732,KR,https://www.youtube.com/channel/UCta_NRwnsUaew0t3VNxBNyg,UCta_NRwnsUaew0t3VNxBNyg,,
ootb STUDIO,1790000,2025/11/16,34667,KR,https://www.youtube.com/channel/UCRmm8763aqO0CoeLCA2jNSA,UCRmm8763aqO0CoeLCA2jNSA,,
Caleb Natale,1760000,2025/11/14,15316,US,https://www.youtube.com/channel/UC1vY3FaEJYblWQ5Sa9K9-sQ,UC1vY3FaEJYblWQ5Sa9K9-sQ,,
부읽남TV_내집마련부터건물주까지,1660000,2025/11/17,0,KR,https://www.youtube.com/channel/UC2QeHNJFfuQWB4cy3M-745g,UC2QeHNJFfuQWB4cy3M-745g,,
사코팍 SAKOPAK,1650000,2025/11/13,0,,https://www.youtube.com/channel/UCM5Ij_HwT8V6xPT9cRBFjJw,UCM5Ij_HwT8V6xPT9cRBFjJw,,
오빠두엑셀 l 엑셀 강의 대표채널,1610000,2025/11/14,278422,KR,https://www.youtube.com/channel/UCZ6UHYBQFBe14WUgxlgmYfg,UCZ6UHYBQFBe14WUgxlgmYfg,,
ForgeCore,1610000,2025/11/14,3096217,US,https://www.youtube.com/channel/UC9qoB5JgECKwB4y2oYC712w,UC9qoB5JgECKwB4y2oYC712w,,
WifiEli,1530000,2025/11/10,58041,US,https://www.youtube.com/channel/UC7T1LDwIGEAB7awKsXSBcAA,UC7T1LDwIGEAB7awKsXSBcAA,,
The Fast Lane Car,1530000,2025/11/15,8603,US,https://www.youtube.com/channel/UC6S0jAvcapqJ48ZzLfva12g,UC6S0jAvcapqJ48ZzLfva12g,,
Ryan Kennedy,1300000,2025/11/17,755,US,https://www.youtube.com/channel/UCTkhZGtANjMzXpgDUE7HLUA,UCTkhZGtANjMzXpgDUE7HLUA,,
Albert Vishi,1300000,2025/11/17,0,US,https://www.youtube.com/channel/UCkR6Qmd9HczDLoegJoT1NeQ,UCkR6Qmd9HczDLoegJoT1NeQ,,
언더스탠딩 : 세상의 모든 지식,1270000,2025/11/16,109598,KR,https://www.youtube.com/channel/UCIUni4ScRp4mqPXsxy62L5w,UCIUni4ScRp4mqPXsxy62L5w,,
빨간내복야코,1240000,2025/11/15,113940,KR,https://www.youtube.com/channel/UCWhiqHa4dVohOTSUQwK-l2g,UCWhiqHa4dVohOTSUQwK-l2g,,
Unity,1210000,2025/11/14,2900,,https://www.youtube.com/channel/UCG08EqOAXJk_YXPDsAvReSg,UCG08EqOAXJk_YXPDsAvReSg,,
Frankly Built,1190000,2025/11/14,12367,US,https://www.youtube.com/channel/UCsnKS1fVNJ1yjCkGOXXDd4A,UCsnKS1fVNJ1yjCkGOXXDd4A,,
815머니톡,1150000,2025/11/17,1044,KR,https://www.youtube.com/channel/UCCG6BEYjfQMGzypJw2EJCDQ,UCCG6BEYjfQMGzypJw2EJCDQ,,
MTN 머니투데이방송,1140000,2025/11/17,41,KR,https://www.youtube.com/channel/UClErHbdZKUnD1NyIUeQWvuQ,UClErHbdZKUnD1NyIUeQWvuQ,,
알간지Alganzi,1120000,2025/2/25,452287,US,https://www.youtube.com/channel/UC4wMRlYVDQqPbIMZb-DqH1A,UC4wMRlYVDQqPbIMZb-DqH1A,,
이연LEEYEON,953000,2025/11/16,28279,KR,https://www.youtube.com/channel/UCKw7Jsu2cMU_D4yK8VMms1Q,UCKw7Jsu2cMU_D4yK8VMms1Q,,
Fancy,851000,2025/10/23,276881,US,https://www.youtube.com/channel/UCRJilf8hdkxHQqrQa_CafyA,UCRJilf8hdkxHQqrQa_CafyA,,
DucThang Ds,838000,2025/11/16,14388,VN,https://www.youtube.com/channel/UCHMiVk1X8dT1f_YCLFY5gdA,UCHMiVk1X8dT1f_YCLFY5gdA,,
1분 뚝딱 랭킹,802000,2025/11/16,33584,KR,https://www.youtube.com/channel/UCBM4rRGFLWnj6-7tizr2p-w,UCBM4rRGFLWnj6-7tizr2p-w,,
Polaristuff,800000,2025/11/14,10230,US,https://www.youtube.com/channel/UCvQ73tpu1C78RnzajHhLMAw,UCvQ73tpu1C78RnzajHhLMAw,,
EO Korea,739000,2025/11/15,20290,KR,https://www.youtube.com/channel/UCQ2DWm5Md16Dc3xRwwhVE7Q,UCQ2DWm5Md16Dc3xRwwhVE7Q,,
3D Printing Doctor,707000,2025/11/15,2485,US,https://www.youtube.com/channel/UCfE4CryKE10n5LJFLNpDoUw,UCfE4CryKE10n5LJFLNpDoUw,,
3D Printing Nerd,688000,2025/11/15,0,US,https://www.youtube.com/channel/UC_7aK9PpYTqt08ERh1MewlQ,UC_7aK9PpYTqt08ERh1MewlQ,,
조코딩 JoCoding,683000,2025/11/16,7525,KR,https://www.youtube.com/channel/UCQNE2JmbasNYbjGAcuBiRRg,UCQNE2JmbasNYbjGAcuBiRRg,,
JUNGSAEMMOOL,669000,2025/11/17,2537,KR,https://www.youtube.com/channel/UCtCpkkzNnYixE9GEJVaCI8g,UCtCpkkzNnYixE9GEJVaCI8g,,
독고독채널,653000,2025/11/16,165938,KR,https://www.youtube.com/channel/UCEUSANZNPXY1JsBoqhQIgxQ,UCEUSANZNPXY1JsBoqhQIgxQ,,
Queen Chelsea,640000,2025/10/23,22599,,https://www.youtube.com/channel/UCy370DpznRN0DE9jL1oegkA,UCy370DpznRN0DE9jL1oegkA,,
