channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
GarageFarm Academy,16800,2023-04-08,1761,GB,https://www.youtube.com/channel/UCLizUChmz6X_o6DdzRQi6_w,UCLizUChmz6X_o6DdzRQi6_w
Mr.Go_UnrealEngine,11000,2025-11-12,0,KR,https://www.youtube.com/channel/UCKgpIE9TLhktyw5yg3S1Irg,UCKgpIE9TLhktyw5yg3S1Irg
Polyfjord,789000,2025-11-12,475758,NO,https://www.youtube.com/channel/UC1MmrnDaPnNa55twYBiH4NA,UC1MmrnDaPnNa55twYBiH4NA
Tim Ruswick,67600,2025-11-16,3330,US,https://www.youtube.com/channel/UC_hwKJdF3KRAy4QIaiCSMgQ,UC_hwKJdF3KRAy4QIaiCSMgQ
osasart,180000,2025-11-15,20813,US,https://www.youtube.com/channel/UCMP78kZlE3_7elXTXMzIhdA,UCMP78kZlE3_7elXTXMzIhdA
YTN 사이언스,834000,2025-11-17,17,KR,https://www.youtube.com/channel/UCZdBJIbJz0P9xyFipgOj1fA,UCZdBJIbJz0P9xyFipgOj1fA
Christian Borle - Topic,6550,2025-11-13,19,,https://www.youtube.com/channel/UCJ-7IEmZMwoXv5bNiOD7m_w,UCJ-7IEmZMwoXv5bNiOD7m_w
여우괴담,474000,2024-10-19,2758326,KR,https://www.youtube.com/channel/UCnbBXCT66uOndisRXu8TeLA,UCnbBXCT66uOndisRXu8TeLA
와이스트릿 - 지식과 자산의 복리효과,839000,2025-11-17,4718,KR,https://www.youtube.com/channel/UCupslRq5jW95UGzPjOZz0FA,UCupslRq5jW95UGzPjOZz0FA
Edengate Interactive,7120,2025-09-16,16762,,https://www.youtube.com/channel/UCPg9KG5U8q2W0e_pRnr4cKg,UCPg9KG5U8q2W0e_pRnr4cKg
Sunny Valley Studio,38300,2025-11-14,3185,PL,https://www.youtube.com/channel/UC0UD2KSZESc5PCPzTBZC_dw,UC0UD2KSZESc5PCPzTBZC_dw
Ducky 3D,626000,2025-11-14,14590,,https://www.youtube.com/channel/UCuNhGhbemBkdflZ1FGJ0lUQ,UCuNhGhbemBkdflZ1FGJ0lUQ
SF Boogie Woogie Festival,7840,2025-09-12,1021,,https://www.youtube.com/channel/UCs8U8Nr78rn375TqoweN0pg,UCs8U8Nr78rn375TqoweN0pg
이터널 리턴,65100,2025-11-17,4880,KR,https://www.youtube.com/channel/UCEOaB76vS9RfiAwEzxB8QGw,UCEOaB76vS9RfiAwEzxB8QGw
언리얼 보이,93500,2025-11-14,37482,KR,https://www.youtube.com/channel/UC0KdSyj0otA_zzGY3L9Dz1g,UC0KdSyj0otA_zzGY3L9Dz1g
San Francisco Museum of Modern Art,42600,2025-11-14,276,US,https://www.youtube.com/channel/UC-T9CjFxdi-mQt-5gM4404w,UC-T9CjFxdi-mQt-5gM4404w
건축사 이관용건축학교,131000,2025-11-16,182,KR,https://www.youtube.com/channel/UCFbqN5rsfuVIcxLC-VKz_ug,UCFbqN5rsfuVIcxLC-VKz_ug
Alan Walker,47300000,2025-11-15,70419,NO,https://www.youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ,UCJrOtniJ0-NWz37R30urifQ
Super Normals,20800,2025-09-18,248,IN,https://www.youtube.com/channel/UCCMGF7XJtu8IRcae_eY7y4g,UCCMGF7XJtu8IRcae_eY7y4g
Nice Tower,334000,2025-11-16,367,US,https://www.youtube.com/channel/UCK_0AfnQY3I_wUsF24Ik_3w,UCK_0AfnQY3I_wUsF24Ik_3w
Tech Bytes,9900,2025-11-12,2100,NZ,https://www.youtube.com/channel/UCIzHcYatHCoJ5gLOOCA-Z5g,UCIzHcYatHCoJ5gLOOCA-Z5g
Inkyung Lee,5130,2025-11-03,327,US,https://www.youtube.com/channel/UCvjBtV6ynEdvhmVqB-GZHJw,UCvjBtV6ynEdvhmVqB-GZHJw
성공지식백과,85900,2025-11-17,68,KR,https://www.youtube.com/channel/UC-SyuGFlZXpGdR7WszgYBhw,UC-SyuGFlZXpGdR7WszgYBhw
월텍남 - 월스트리트 테크남,214000,2025-11-16,6982,KR,https://www.youtube.com/channel/UCWV2Uy79TOpB1bk8hnq1nGw,UCWV2Uy79TOpB1bk8hnq1nGw
까까모리,22200,2025-11-17,753,KR,https://www.youtube.com/channel/UCD5gqX9lm6XBJqLV2eUracA,UCD5gqX9lm6XBJqLV2eUracA
Inbloom Concept,30900,2025-11-14,1566,HK,https://www.youtube.com/channel/UCbxav_9xiMxPhQn-Wd9Th6Q,UCbxav_9xiMxPhQn-Wd9Th6Q
퓨처플로우 | 이태현,37400,2024-09-14,2137,KR,https://www.youtube.com/channel/UC6FGz4_afkEtH11lTIQqF-A,UC6FGz4_afkEtH11lTIQqF-A
Blender Made Easy,194000,2025-11-14,5973,US,https://www.youtube.com/channel/UCaS7BQniaSNfBZDYiLimKxQ,UCaS7BQniaSNfBZDYiLimKxQ
Unity Band,199000,2025-08-13,515837,LK,https://www.youtube.com/channel/UC6sy0rVBM6jg6kQPzSpEdMw,UC6sy0rVBM6jg6kQPzSpEdMw
Dani,3570000,2022-01-14,15159031,NO,https://www.youtube.com/channel/UCIabPXjvT5BVTxRDPCBBOOQ,UCIabPXjvT5BVTxRDPCBBOOQ
쏘뉴SoNew,22700,2025-11-15,504,KR,https://www.youtube.com/channel/UCTNgekj_-X3vZ7jGueb7QWg,UCTNgekj_-X3vZ7jGueb7QWg
안될공학 - IT 테크 신기술,403000,2025-11-17,7846,KR,https://www.youtube.com/channel/UCeN2YeJcBCRJoXgzF_OU3qw,UCeN2YeJcBCRJoXgzF_OU3qw
Getvfx Studios,9130,2025-11-16,542,IN,https://www.youtube.com/channel/UCn0gRksmnhPLS3q5AsGeTjA,UCn0gRksmnhPLS3q5AsGeTjA
만두의 옷장,141000,2025-09-23,3846,KR,https://www.youtube.com/channel/UCzDwRo3XkLgfPRgLQF3ilkA,UCzDwRo3XkLgfPRgLQF3ilkA
Shutterbug Raaj,72000,2025-11-09,7516,IN,https://www.youtube.com/channel/UCHJn70PFE7pB7oTLZuCbTTA,UCHJn70PFE7pB7oTLZuCbTTA
Levonotion Studios,15700,2025-11-16,61,NG,https://www.youtube.com/channel/UC_qrTQpcMuDiahndtGOTIdg,UC_qrTQpcMuDiahndtGOTIdg
tutorio,22800,2025-04-06,3977,IN,https://www.youtube.com/channel/UC2rt9AFXcFZwZlnga-Yb0EA,UC2rt9AFXcFZwZlnga-Yb0EA
Raffo VFX,54600,2025-09-24,136448,IT,https://www.youtube.com/channel/UCmVz3EYvUtDDcK6U2bkCa_g,UCmVz3EYvUtDDcK6U2bkCa_g
이르키 | iRKi,8040,2025-10-13,3510,KR,https://www.youtube.com/channel/UCdP0FJ2Z8dbl1fu6NjDJryA,UCdP0FJ2Z8dbl1fu6NjDJryA
핏더사이즈,756000,2025-11-17,6280,KR,https://www.youtube.com/channel/UCKWv0ScT6PpZcpg7ivUVWLA,UCKWv0ScT6PpZcpg7ivUVWLA
영래기,290000,2025-11-13,10696,KR,https://www.youtube.com/channel/UCcvKf8NxAw9i09hZw1MQPBQ,UCcvKf8NxAw9i09hZw1MQPBQ
Twinkl Teaching Resources - United States,91500,2025-11-14,162,US,https://www.youtube.com/channel/UCc3LFn1fUFHxR5HQBUrbwJg,UCc3LFn1fUFHxR5HQBUrbwJg
Vedinad,224000,2025-09-21,3980664,NO,https://www.youtube.com/channel/UCm660vO2lLqC3DJfL_pjDnw,UCm660vO2lLqC3DJfL_pjDnw
VFXEdu,15900,2025-11-16,513,KR,https://www.youtube.com/channel/UC3BaoTQ0TngNK0amK4I78Aw,UC3BaoTQ0TngNK0amK4I78Aw
Ewald Vorster,7580,,,US,https://www.youtube.com/channel/UCyHPEOIBVGCfEuoqG_L9ajQ,UCyHPEOIBVGCfEuoqG_L9ajQ
Unreal University ,84500,2025-11-14,1515,GB,https://www.youtube.com/channel/UCQv4mwerZLQVe3wPbsMc-qw,UCQv4mwerZLQVe3wPbsMc-qw
FlyCat,405000,2025-10-30,20440,VN,https://www.youtube.com/channel/UCnXU0MjnApXHZkf3uGYbLSA,UCnXU0MjnApXHZkf3uGYbLSA
Grant Abbitt (Gabbitt),590000,2025-11-16,2235,GB,https://www.youtube.com/channel/UCZFUrFoqvqlN8seaAeEwjlw,UCZFUrFoqvqlN8seaAeEwjlw
카페인3D,27600,2025-09-23,6001,KR,https://www.youtube.com/channel/UCVh-Cf5beC6vH9lbIyLUa8g,UCVh-Cf5beC6vH9lbIyLUa8g
Sanctus - Blender Procedural,12300,2025-03-07,1926,FR,https://www.youtube.com/channel/UC55xXbnCJK85O2cp25GBdhA,UC55xXbnCJK85O2cp25GBdhA
Thomas Brush,428000,2025-11-14,6556,US,https://www.youtube.com/channel/UCuHVjteDW9tCb8QqMrtGvwQ,UCuHVjteDW9tCb8QqMrtGvwQ
Tech Groww,5920,2025-11-06,98,IN,https://www.youtube.com/channel/UCD-xHrNn6HuumSU-SyZOdHw,UCD-xHrNn6HuumSU-SyZOdHw
DOVOLO,272000,2024-10-16,4506553,,https://www.youtube.com/channel/UCZKzZJuqekfox4tMsyehx4g,UCZKzZJuqekfox4tMsyehx4g
Gabriel Aguiar Prod.,144000,2025-09-22,4571,PT,https://www.youtube.com/channel/UCtb1s859RTxx-RIgFs5ZVQA,UCtb1s859RTxx-RIgFs5ZVQA
Blender 3D - уроки,205000,2021-12-14,668833,UA,https://www.youtube.com/channel/UCLYrT1051M_6XkbEc5Te8PA,UCLYrT1051M_6XkbEc5Te8PA
NBC Bay Area,370000,2025-11-17,2415,US,https://www.youtube.com/channel/UCmKKVuZrBfSGiuvtOuipoDA,UCmKKVuZrBfSGiuvtOuipoDA
Womp,16800,2025-11-14,1108,,https://www.youtube.com/channel/UCEBvbSBd90DaoJGKlTnsO_w,UCEBvbSBd90DaoJGKlTnsO_w
九里江めいく【ゲーム制作VTuber Unreal Engine / UE5 初心者向け講座】,14100,2025-11-02,694,JP,https://www.youtube.com/channel/UCmg2dfHA5y4eBUw4DNd3tDg,UCmg2dfHA5y4eBUw4DNd3tDg
GUNPLABO건프라보,50500,2025-11-17,1103,KR,https://www.youtube.com/channel/UCie6H2bRMe_JnLqEFbe4H4A,UCie6H2bRMe_JnLqEFbe4H4A
AI토리,14800,2025-11-14,688,,https://www.youtube.com/channel/UC-0Gzb6JEE0Egx_stVpVXSA,UC-0Gzb6JEE0Egx_stVpVXSA
