Date,channel_name,subscribers,last_video_date,last_video_views,country,url,description_about
2025-11-21,Game Development Tutorials,6400,2016-02-14,10221,IN,https://www.youtube.com/channel/UCmFvgExKRTn3BN4NiVbQE6g,"I make HTML5 and Flash Game Development tutorials. My tutorials will teach you how to make games for ANDROID, iOS, WEB and many other platforms. You will get all you need to get started with GAME DEVELOPMENT!
Don't just play games let's make them :D"
2025-11-21,freeCodeCamp.org,11300000,2025-11-21,4561,US,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,"Learn math, programming, and computer science for free. A 501(c)(3) tax-exempt charity. We also run a free learning interactive platform at freecodecamp.org"
2025-11-21,Andrzej Gieralt Creative,16000,2025-11-18,2333,CA,https://www.youtube.com/channel/UCL7tHebe19_Sz2RvTRCwznw,"If you're ready to escape tutorial hell, stop quitting and restarting your projects, and turn your dream game into a finishable reality, you've come to the right place.
"
2025-11-21,GDQuest,307000,2022-06-08,128626,FR,https://www.youtube.com/channel/UCxboW7x0jZqFdvMdCFKTMsQ,"Become a game developer, with Godot!

Learn the techniques professionals use to create stunning games, using Free and Open Source Software.
"
2025-11-21,Pirate Software,2050000,2025-11-21,4230,US,https://www.youtube.com/channel/UCMnULQ6F6kLDAHxofDWIbrw,"Pirate Software is an indie game studio based out of Washington state.
We're a bunch of nerds that like making games.

Check out our game Heartbound!
https://store.steampowered.com/app/567380/Heartbound/
"
2025-11-21,Dani,3580000,2022-01-14,15174469,NO,https://www.youtube.com/channel/UCIabPXjvT5BVTxRDPCBBOOQ,i make games
2025-11-21,BadGameDev,226000,2025-10-25,1746,AU,https://www.youtube.com/channel/UCKSbq7Xq8UWeWx4lv7MdG2A,If you want to learn how to make video games and the fundamentals of game development - this is the wrong channel.
2025-11-21,Brackeys,1910000,2025-10-05,146299,DK,https://www.youtube.com/channel/UCYbK_tjZ2OrIZFBvU6CCMiA,"Learn how to make video games!

Top-quality game development tutorials on everything from Unity, Godot and programming to game design. If you want to become a developer this channel will help guide you through it!

Join us on Discord: https://discord.gg/brackeys

► All content by Brackeys is 100% free. We believe that education should be available for everyone.
"
2025-11-21,Dave / GameDevelopment,42900,2023-04-02,22062,US,https://www.youtube.com/channel/UCIWlCE2kt0RXCJLRp8HjhiQ,
2025-11-21,Goodgis,253000,2025-10-30,166953,US,https://www.youtube.com/channel/UCdXUwmzmhitTRqtPLazyetg,"🔥 Graphic Designer • ✨ Game Dev • 🐝 Wishlist Dewdrop Dynasty

Hey there! My name is Mark, but most people know me on the internet as Goodgis.

I’m a full-time Graphic Designer who makes video games and shares my adventures on Youtube. I specialize in making cute, colorful games and am currently working on a Metroidvania called Dewdrop Dynasty.

I also run my own little game studio called Firith Studio. It's been my dream, ever since I was a kid, to hire my friends and make Firith Studio a full-time job. And it's crazy to think that every day I get a little bit closer to that goal.

I’m probably most known for games such as The Keeyp, Wizbirds Online, Blizzard Blowout 64, and of course Dewdrop Dynasty. Wishlist on Steam!
"
