channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
Pixlways,109000,2025-10-27,58789,US,https://www.youtube.com/channel/UCQ-K5Pzx55EYaBbNqITDRdw,UCQ-K5Pzx55EYaBbNqITDRdw
Harsh Gautam,27300,2025-11-14,1410,US,https://www.youtube.com/channel/UCG6v_5aFoc4AOipNDzxQOkg,UCG6v_5aFoc4AOipNDzxQOkg
WifiEli,1530000,2025-11-10,58041,US,https://www.youtube.com/channel/UC7T1LDwIGEAB7awKsXSBcAA,UC7T1LDwIGEAB7awKsXSBcAA
3D Printer Academy Tutorials,67500,2025-10-26,1933,US,https://www.youtube.com/channel/UCiO5QVCba_fW_GURw7ZG3qw,UCiO5QVCba_fW_GURw7ZG3qw
3D Print Dood,33800,2025-11-12,6751,US,https://www.youtube.com/channel/UCQz_bT9XdLZutlin8ULpfhA,UCQz_bT9XdLZutlin8ULpfhA
Royal Skies,279000,2025-11-05,17493,US,https://www.youtube.com/channel/UC2U5mRfclG1Rrr1ztNkpGKA,UC2U5mRfclG1Rrr1ztNkpGKA
SetupsAI,433000,2025-11-13,79796,US,https://www.youtube.com/channel/UC0xHrJNbxHmFnUP-49WYM-Q,UC0xHrJNbxHmFnUP-49WYM-Q
ForgeCore,1600000,2025-11-07,14174035,US,https://www.youtube.com/channel/UC9qoB5JgECKwB4y2oYC712w,UC9qoB5JgECKwB4y2oYC712w
PixelFire,13300,2025-11-13,13,US,https://www.youtube.com/channel/UCYk-yy4tkrWpvYu_iM6fjtA,UCYk-yy4tkrWpvYu_iM6fjtA
Nice Tower,333000,2025-11-13,293,US,https://www.youtube.com/channel/UCK_0AfnQY3I_wUsF24Ik_3w,UCK_0AfnQY3I_wUsF24Ik_3w
InspirationTuts,329000,2025-11-13,3867,US,https://www.youtube.com/channel/UCDdv3C21EFv7MxBMu70OExw,UCDdv3C21EFv7MxBMu70OExw
Brandon Santana,20700,2025-10-10,4685,US,https://www.youtube.com/channel/UC1ryynBWS7T3LY9k7qbyFzw,UC1ryynBWS7T3LY9k7qbyFzw
osasart,180000,2025-11-08,7131,US,https://www.youtube.com/channel/UCMP78kZlE3_7elXTXMzIhdA,UCMP78kZlE3_7elXTXMzIhdA
Daniel Krafft,2380000,2025-10-25,460895,US,https://www.youtube.com/channel/UCojEXrCBzO-cP2N5YlRcrWw,UCojEXrCBzO-cP2N5YlRcrWw
Rhino 3D (Rhinoceros3d official),41200,2025-09-24,4202,US,https://www.youtube.com/channel/UCFk2HeZDZprti9Sm5LWeMPA,UCFk2HeZDZprti9Sm5LWeMPA
3D Printer Academy,513000,2025-11-12,39365,US,https://www.youtube.com/channel/UC4OPqfX3clJgmb_K72Pu-kA,UC4OPqfX3clJgmb_K72Pu-kA
