channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
SonderingEmily,72700,2025-11-15,241,US,https://www.youtube.com/channel/UCtyrZ2RsGloiJBiK8lFLIvg,UCtyrZ2RsGloiJBiK8lFLIvg
Goodgis,252000,2025-10-30,155469,US,https://www.youtube.com/channel/UCdXUwmzmhitTRqtPLazyetg,UCdXUwmzmhitTRqtPLazyetg
Timothy Cain,193000,2025-11-14,3188,US,https://www.youtube.com/channel/UCTAfm-YD2M9xzvbYvRc5ttA,UCTAfm-YD2M9xzvbYvRc5ttA
freeCodeCamp.org,11300000,2025-11-15,3443,US,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,UC8butISFwT-Wl7EV0hUK0BQ
Pirate Software,2050000,2025-11-15,4705,US,https://www.youtube.com/channel/UCMnULQ6F6kLDAHxofDWIbrw,UCMnULQ6F6kLDAHxofDWIbrw
Acerola,295000,,,US,https://www.youtube.com/channel/UCQG40havu4kNpB4pxUDQhYQ,UCQG40havu4kNpB4pxUDQhYQ
Microsoft Game Dev,13100,2025-11-06,1830,US,https://www.youtube.com/channel/UCaCZHrQg_-qPrYIVsTFuUHg,UCaCZHrQg_-qPrYIVsTFuUHg
Thomas Brush,428000,2025-11-14,4056,US,https://www.youtube.com/channel/UCuHVjteDW9tCb8QqMrtGvwQ,UCuHVjteDW9tCb8QqMrtGvwQ
GDC Festival of Gaming,548000,2025-10-23,2340,US,https://www.youtube.com/channel/UC0JB7TSe49lg56u6qH8y_MQ,UC0JB7TSe49lg56u6qH8y_MQ
Inbound Shovel,166000,2025-11-15,83,US,https://www.youtube.com/channel/UCdYwjLVP-98bptdlQFO_5zQ,UCdYwjLVP-98bptdlQFO_5zQ
DevWorm,66300,2025-07-11,19517,US,https://www.youtube.com/channel/UCSehnx-yuPok8rOWlPIGGOQ,UCSehnx-yuPok8rOWlPIGGOQ
Juniper Dev,261000,2025-11-12,50307,US,https://www.youtube.com/channel/UChzRJQ-MbpcIxFT5YLW1R9w,UChzRJQ-MbpcIxFT5YLW1R9w
Resonant Arc,160000,2025-11-10,12007,US,https://www.youtube.com/channel/UCFzWAEPDGiY34bGpwM_DWmA,UCFzWAEPDGiY34bGpwM_DWmA
Dave / GameDevelopment,42800,2023-04-02,22008,US,https://www.youtube.com/channel/UCIWlCE2kt0RXCJLRp8HjhiQ,UCIWlCE2kt0RXCJLRp8HjhiQ
Devslopes,352000,2025-08-28,6777,US,https://www.youtube.com/channel/UClLXKYEEM8OBBx85DOa6-cg,UClLXKYEEM8OBBx85DOa6-cg
SimTek Game Development,150000,2025-11-11,8023,US,https://www.youtube.com/channel/UC0WH048emp1tAVI5LpcJxmg,UC0WH048emp1tAVI5LpcJxmg
DevDuck,176000,2025-10-25,10148,US,https://www.youtube.com/channel/UCKCTmact-90hXpV2ns8GSsA,UCKCTmact-90hXpV2ns8GSsA
iHeartGameDev,89200,2024-12-28,9708,US,https://www.youtube.com/channel/UC9uqO0ei_zOHotEWfEj72mw,UC9uqO0ei_zOHotEWfEj72mw
Artindi,68500,2025-11-08,37741,US,https://www.youtube.com/channel/UC-X348Le6FmIfc9zxH4KYNA,UC-X348Le6FmIfc9zxH4KYNA
