channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
게임캔버스-게임기획개발아카데미,13200,2025-11-18,637,KR,https://www.youtube.com/channel/UCZ8xMlkBXBt5NKR62s2tDdw,UCZ8xMlkBXBt5NKR62s2tDdw
10X AI Club,32800,2025-04-14,13163,,https://www.youtube.com/channel/UCuWyONMstc7XVweGiHS38ZA,UCuWyONMstc7XVweGiHS38ZA
털어드림,167000,2025-11-18,18602,KR,https://www.youtube.com/channel/UCfrO3ZMC-rOThB-NSxfGjTQ,UCfrO3ZMC-rOThB-NSxfGjTQ
Thebhimsenart,219000,2025-11-13,1719026,,https://www.youtube.com/channel/UCGqQ2atxa0g3B6jsBrhu2gA,UCGqQ2atxa0g3B6jsBrhu2gA
입체기동 연구소,7520,2025-11-08,45368,KR,https://www.youtube.com/channel/UCx6ATC21xoVTBZBIjBHDD4g,UCx6ATC21xoVTBZBIjBHDD4g
알린 ALINN,169000,2025-11-12,37095,,https://www.youtube.com/channel/UCf9yTGvaf5HL8CCPxIanENg,UCf9yTGvaf5HL8CCPxIanENg
숭배하라,49000,2025-11-18,42439,,https://www.youtube.com/channel/UChT_3672e3gi9TzLUCpvDow,UChT_3672e3gi9TzLUCpvDow
B3rniem4n,153000,2025-07-19,3382,US,https://www.youtube.com/channel/UCxaDl73vDRk5ri80BUV-OOA,UCxaDl73vDRk5ri80BUV-OOA
PRODESIGN,6460,2025-07-25,1850,,https://www.youtube.com/channel/UChCAb299FjSisWATg0IM1sA,UChCAb299FjSisWATg0IM1sA
동영상갤러리,48100,2025-09-07,3869,KR,https://www.youtube.com/channel/UCK9Nf1Vz52pwj2_78OCAFWA,UCK9Nf1Vz52pwj2_78OCAFWA
William Faucher,264000,2025-11-12,41868,NO,https://www.youtube.com/channel/UCGKjGGjdl-GzEcFPf1EQwqw,UCGKjGGjdl-GzEcFPf1EQwqw
디자이너 덕디,20700,2025-11-17,1105,KR,https://www.youtube.com/channel/UCXWPZ-pCzj2xPc8bNOqvJlg,UCXWPZ-pCzj2xPc8bNOqvJlg
드론회사사람들,19100,2025-11-18,64,KR,https://www.youtube.com/channel/UCDvDDqKD9nkysD0Qoo8kmpQ,UCDvDDqKD9nkysD0Qoo8kmpQ
Art School of SF Bay (www.artschoolsfbay.com),9290,2025-11-10,731,US,https://www.youtube.com/channel/UCTuVOjUdwcwORf8JYBh-f0g,UCTuVOjUdwcwORf8JYBh-f0g
Eve Sculpts,52800,2025-11-07,2890,GB,https://www.youtube.com/channel/UCMi8gAfUpxM4iLpo0szb4aQ,UCMi8gAfUpxM4iLpo0szb4aQ
CGplus,9420,2025-11-14,277,KR,https://www.youtube.com/channel/UC05Q-S2wS8JtTHgYSifokuA,UC05Q-S2wS8JtTHgYSifokuA
김렌더,21700,2022-10-24,6303,KR,https://www.youtube.com/channel/UCXiUzpayY0TH9JRedTpcxRA,UCXiUzpayY0TH9JRedTpcxRA
